Albrich;rc;2;n
Assire Anahid;rc;6;n
Infantry Archer;rc;10;n
Cahir Ceallach;cc;6;n
Cynthia;rc;4;n
Etolian Archers;rc;1;n
Fringilla;rc;6;n
Zerrikani Scorpion;s;10;n
Impera Guard;cc;3;n
Letho of Gulet;cc;10;h
Menno Coehoorn;cc;10;h
Morteisen;cc;3;n
Morvran Voorhis;s;10;h
Nausic Cavalry;cc;2;n
Puttkamer;rc;3;n
Rainfarn;cc;4;n
Renuald Matsen;rc;5;n
Rotten Mangonel;s;3;n
Schilar Oesterl;cc;7;n
Siege Engineer;s;6;n
Stefan Skellen;cc;9;n
Sweers;rc;2;n
Tibor Egebracht;rc;10;h
Vanhemar;rc;4;n
Vatier Rideaux;cc;4;n
Vremde;cc;2;n
Young Emissary;cc;5;n
Fire Scorion;s;5;n
